review,status,rejected,reviewers,days_active,year,comments
REVIEW,closed,0,3,77,2021,74
REVIEW,closed,0,3,30,2021,42
REVIEW,closed,0,3,36,2021,33
REVIEW,closed,0,3,31,2021,59
REVIEW,closed,0,3,51,2021,57
REVIEW,closed,0,3,33,2021,42
REVIEW,closed,0,3,34,2021,52
PRE REVIEW,closed,0,3,79,2021,31
PRE REVIEW,closed,0,2,45,2021,55
REVIEW,closed,0,3,89,2021,51
0,closed,0,0,0,2021,7
PRE REVIEW,closed,0,3,27,2021,33
PRE REVIEW,closed,0,4,24,2021,40
PRE REVIEW,closed,1,0,10,2021,22
REVIEW,closed,0,3,102,2021,52
REVIEW,closed,0,3,61,2021,55
REVIEW,closed,0,3,18,2021,45
REVIEW,closed,0,3,17,2021,51
PRE REVIEW,closed,0,3,54,2021,36
REVIEW,closed,0,3,23,2021,78
REVIEW,closed,0,3,58,2021,71
PRE REVIEW,closed,0,3,15,2021,47
PRE REVIEW,closed,0,3,8,2021,30
REVIEW,closed,0,3,92,2021,68
REVIEW,closed,0,3,112,2021,38
PRE REVIEW,closed,1,0,13,2021,15
PRE REVIEW,closed,0,3,57,2021,27
REVIEW,closed,0,3,56,2021,84
PRE REVIEW,closed,1,0,27,2021,13
PRE REVIEW,closed,1,0,15,2021,10
PRE REVIEW,closed,0,3,26,2021,41
PRE REVIEW,closed,0,3,30,2021,40
REVIEW,closed,0,3,67,2021,87
REVIEW,closed,0,3,112,2021,81
REVIEW,closed,0,3,68,2021,104
0,closed,0,0,0,2021,5
REVIEW,closed,0,3,31,2021,60
PRE REVIEW,closed,1,0,5,2021,14
PRE REVIEW,closed,0,4,81,2021,50
PRE REVIEW,closed,0,3,109,2021,34
PRE REVIEW,closed,0,3,41,2021,20
PRE REVIEW,closed,0,2,31,2021,22
PRE REVIEW,closed,1,1,27,2021,21
PRE REVIEW,closed,1,1,5,2021,16
PRE REVIEW,closed,0,2,67,2021,19
PRE REVIEW,closed,0,2,46,2021,46
PRE REVIEW,closed,1,0,17,2021,16
PRE REVIEW,closed,0,3,6,2021,25
PRE REVIEW,closed,0,1,27,2021,23
PRE REVIEW,closed,0,3,8,2021,19
PRE REVIEW,closed,0,3,21,2021,16
REVIEW,closed,0,4,63,2021,73
REVIEW,closed,0,3,63,2021,50
PRE REVIEW,closed,0,2,1,2021,19
REVIEW,closed,0,3,24,2021,70
REVIEW,closed,0,4,52,2021,58
REVIEW,closed,0,3,45,2021,66
REVIEW,closed,0,3,110,2021,50
REVIEW,closed,0,3,64,2021,88
PRE REVIEW,closed,1,0,0,2021,9
PRE REVIEW,closed,0,3,15,2021,25
PRE REVIEW,closed,1,0,0,2021,7
REVIEW,closed,0,4,47,2021,74
PRE REVIEW,closed,0,3,20,2021,31
PRE REVIEW,closed,0,1,12,2021,30
PRE REVIEW,closed,0,2,16,2021,27
PRE REVIEW,closed,0,2,20,2021,24
PRE REVIEW,closed,0,4,39,2021,34
REVIEW,closed,1,3,107,2021,19
REVIEW,closed,0,3,59,2021,49
PRE REVIEW,closed,0,2,16,2021,28
PRE REVIEW,closed,0,3,6,2021,24
PRE REVIEW,closed,0,3,15,2021,29
PRE REVIEW,closed,0,2,23,2021,23
PRE REVIEW,closed,0,2,22,2021,37
PRE REVIEW,closed,0,2,28,2021,23
PRE REVIEW,closed,0,3,28,2021,37
PRE REVIEW,closed,0,2,10,2021,23
PRE REVIEW,closed,0,1,25,2021,23
PRE REVIEW,closed,0,3,94,2021,37
PRE REVIEW,closed,1,0,11,2021,11
REVIEW,closed,0,3,72,2021,59
PRE REVIEW,closed,1,0,5,2021,15
PRE REVIEW,closed,0,3,17,2021,38
PRE REVIEW,closed,0,3,20,2021,19
PRE REVIEW,closed,0,3,15,2021,30
PRE REVIEW,closed,1,0,2,2021,20
PRE REVIEW,closed,0,3,12,2021,20
PRE REVIEW,closed,0,3,19,2021,43
PRE REVIEW,closed,0,0,0,2021,10
PRE REVIEW,closed,0,3,24,2021,34
REVIEW,closed,0,3,31,2021,52
PRE REVIEW,closed,0,4,11,2021,40
REVIEW,closed,0,3,106,2021,89
REVIEW,closed,0,3,54,2021,90
PRE REVIEW,closed,0,3,82,2021,25
PRE REVIEW,closed,0,3,93,2021,32
PRE REVIEW,closed,0,3,3,2021,24
PRE REVIEW,closed,0,3,57,2021,26
PRE REVIEW,closed,0,0,0,2021,11
PRE REVIEW,closed,1,0,8,2021,12
PRE REVIEW,closed,1,0,8,2021,20
REVIEW,closed,0,3,130,2021,55
PRE REVIEW,closed,1,0,11,2021,29
PRE REVIEW,closed,1,0,5,2021,17
PRE REVIEW,closed,0,3,34,2021,29
REVIEW,closed,1,4,83,2021,63
PRE REVIEW,closed,0,3,34,2021,33
PRE REVIEW,closed,0,4,90,2021,37
REVIEW,closed,0,3,48,2021,60
REVIEW,closed,0,3,83,2021,70
REVIEW,closed,0,3,57,2021,41
REVIEW,closed,0,4,50,2021,74
PRE REVIEW,closed,0,3,55,2021,32
PRE REVIEW,closed,0,3,93,2021,38
PRE REVIEW,closed,0,3,72,2021,32
PRE REVIEW,closed,0,3,42,2021,26
PRE REVIEW,closed,0,3,60,2021,30
PRE REVIEW,closed,0,2,39,2021,32
REVIEW,closed,0,3,97,2021,68
REVIEW,closed,0,4,57,2021,121
PRE REVIEW,closed,0,2,141,2021,40
PRE REVIEW,closed,0,3,46,2021,46
PRE REVIEW,closed,0,3,30,2021,55
PRE REVIEW,closed,0,3,11,2021,32
PRE REVIEW,closed,0,3,95,2021,48
PRE REVIEW,closed,0,3,31,2021,41
PRE REVIEW,closed,0,2,11,2021,21
PRE REVIEW,closed,0,3,40,2021,26
PRE REVIEW,closed,0,3,50,2021,31
PRE REVIEW,closed,1,0,4,2021,10
PRE REVIEW,closed,1,0,2,2021,13
REVIEW,closed,0,3,101,2021,35
REVIEW,closed,0,3,32,2021,47
REVIEW,closed,0,3,38,2021,87
REVIEW,closed,1,2,82,2021,76
REVIEW,closed,0,3,35,2021,71
REVIEW,closed,0,3,60,2021,41
REVIEW,closed,0,3,48,2021,63
PRE REVIEW,closed,1,0,4,2021,23
PRE REVIEW,closed,0,2,21,2021,44
PRE REVIEW,closed,0,1,17,2021,39
PRE REVIEW,closed,1,0,5,2021,11
REVIEW,closed,0,3,39,2021,41
REVIEW,closed,0,3,42,2021,44
REVIEW,closed,0,3,26,2021,61
REVIEW,closed,0,1,22,2021,38
PRE REVIEW,closed,1,0,6,2021,11
PRE REVIEW,closed,0,3,46,2021,43
PRE REVIEW,closed,0,2,26,2021,17
PRE REVIEW,closed,0,2,4,2021,22
PRE REVIEW,closed,0,3,6,2021,44
PRE REVIEW,closed,1,0,28,2021,16
PRE REVIEW,closed,0,3,41,2021,45
REVIEW,closed,0,3,145,2021,108
REVIEW,closed,0,3,76,2021,66
REVIEW,closed,0,3,27,2021,51
PRE REVIEW,closed,0,3,0,2021,24
PRE REVIEW,closed,0,3,26,2021,21
PRE REVIEW,closed,0,3,31,2021,35
PRE REVIEW,closed,0,3,8,2021,29
PRE REVIEW,closed,0,3,50,2021,37
REVIEW,closed,0,3,9,2021,49
PRE REVIEW,closed,1,0,16,2021,10
PRE REVIEW,closed,1,0,0,2021,7
REVIEW,closed,0,3,54,2021,77
PRE REVIEW,closed,0,3,49,2021,31
PRE REVIEW,closed,0,4,98,2021,43
PRE REVIEW,closed,0,1,42,2021,24
PRE REVIEW,closed,0,1,6,2021,19
REVIEW,closed,0,3,72,2021,74
PRE REVIEW,closed,0,3,8,2021,21
REVIEW,closed,0,4,109,2021,85
PRE REVIEW,closed,0,3,2,2021,34
PRE REVIEW,closed,0,3,58,2021,35
PRE REVIEW,closed,0,3,8,2021,31
PRE REVIEW,closed,0,3,35,2021,42
PRE REVIEW,closed,1,0,14,2021,13
REVIEW,closed,0,1,4,2021,33
PRE REVIEW,closed,0,1,0,2021,11
REVIEW,closed,0,3,37,2021,72
PRE REVIEW,closed,0,3,56,2021,66
PRE REVIEW,closed,0,3,72,2021,36
PRE REVIEW,closed,0,3,35,2021,47
PRE REVIEW,closed,0,3,69,2021,40
PRE REVIEW,closed,1,0,15,2021,9
PRE REVIEW,closed,0,5,49,2021,22
PRE REVIEW,closed,1,0,8,2021,15
PRE REVIEW,closed,0,3,24,2021,31
REVIEW,closed,0,3,32,2021,61
REVIEW,closed,0,3,97,2021,64
REVIEW,closed,0,3,17,2021,63
PRE REVIEW,closed,0,2,7,2021,29
PRE REVIEW,closed,0,3,31,2021,23
PRE REVIEW,closed,1,0,6,2021,11
PRE REVIEW,closed,1,0,12,2021,24
PRE REVIEW,closed,0,3,11,2021,34
PRE REVIEW,closed,0,3,32,2021,20
PRE REVIEW,closed,0,3,168,2021,45
PRE REVIEW,closed,1,0,41,2021,20
PRE REVIEW,closed,1,0,7,2021,12
PRE REVIEW,closed,0,3,40,2021,26
PRE REVIEW,closed,1,0,0,2021,8
REVIEW,closed,0,3,74,2021,52
PRE REVIEW,closed,0,3,21,2021,29
PRE REVIEW,closed,1,0,9,2021,10
REVIEW,closed,0,3,57,2021,57
PRE REVIEW,closed,0,3,58,2021,56
PRE REVIEW,closed,0,4,30,2021,45
PRE REVIEW,closed,0,3,62,2021,35
REVIEW,closed,0,3,33,2021,57
PRE REVIEW,closed,0,3,48,2021,40
PRE REVIEW,closed,0,1,32,2021,29
REVIEW,closed,0,3,150,2021,119
REVIEW,closed,0,3,45,2021,61
PRE REVIEW,closed,0,3,12,2021,31
PRE REVIEW,closed,0,3,54,2021,37
PRE REVIEW,closed,1,0,15,2021,17
PRE REVIEW,closed,0,3,54,2021,28
PRE REVIEW,closed,1,0,15,2021,10
PRE REVIEW,closed,0,3,27,2021,36
REVIEW,closed,0,3,106,2021,78
REVIEW,closed,0,3,87,2021,109
REVIEW,closed,0,3,79,2021,49
PRE REVIEW,closed,0,2,47,2021,38
PRE REVIEW,closed,0,3,23,2021,29
PRE REVIEW,closed,0,2,17,2021,20
REVIEW,closed,0,3,21,2021,49
REVIEW,closed,0,1,1,2021,25
REVIEW,closed,0,3,15,2021,46
REVIEW,closed,0,3,28,2021,53
REVIEW,closed,0,4,101,2021,122
PRE REVIEW,closed,1,0,6,2021,10
PRE REVIEW,closed,0,1,2,2021,16
PRE REVIEW,closed,0,3,39,2021,25
PRE REVIEW,closed,1,0,6,2021,11
PRE REVIEW,closed,0,3,5,2021,28
PRE REVIEW,closed,0,3,72,2021,23
PRE REVIEW,closed,0,2,72,2021,28
PRE REVIEW,closed,0,3,5,2021,23
PRE REVIEW,closed,1,0,26,2021,14
PRE REVIEW,closed,0,3,48,2021,32
PRE REVIEW,closed,0,3,52,2021,33
PRE REVIEW,closed,1,0,6,2021,7
PRE REVIEW,closed,0,3,4,2021,31
REVIEW,closed,0,3,168,2021,47
REVIEW,closed,0,3,175,2021,77
REVIEW,closed,0,3,134,2021,89
REVIEW,closed,0,3,36,2021,42
REVIEW,closed,0,2,2,2021,13
REVIEW,closed,0,4,137,2021,73
REVIEW,closed,0,4,57,2021,66
REVIEW,closed,0,3,43,2021,85
REVIEW,closed,0,3,22,2021,86
PRE REVIEW,closed,0,2,26,2021,28
PRE REVIEW,closed,0,3,14,2021,28
PRE REVIEW,closed,0,3,10,2021,26
PRE REVIEW,closed,1,0,3,2021,16
PRE REVIEW,closed,0,3,25,2021,38
PRE REVIEW,closed,0,1,12,2021,22
REVIEW,closed,0,3,96,2021,57
PRE REVIEW,closed,0,4,70,2021,55
PRE REVIEW,closed,0,3,19,2021,30
REVIEW,closed,0,3,40,2021,58
PRE REVIEW,closed,1,0,4,2021,15
PRE REVIEW,closed,0,2,9,2021,28
REVIEW,closed,0,3,14,2021,46
PRE REVIEW,closed,1,0,6,2021,11
PRE REVIEW,closed,1,0,7,2021,11
PRE REVIEW,closed,0,3,43,2021,34
PRE REVIEW,closed,0,1,4,2021,21
PRE REVIEW,closed,0,3,46,2021,51
PRE REVIEW,closed,1,0,7,2021,10
PRE REVIEW,closed,0,2,16,2021,35
REVIEW,closed,0,3,57,2021,52
PRE REVIEW,closed,0,3,23,2021,33
REVIEW,closed,0,3,152,2021,127
PRE REVIEW,closed,0,3,49,2021,25
PRE REVIEW,closed,0,2,11,2021,39
PRE REVIEW,closed,1,0,5,2021,14
REVIEW,closed,0,3,22,2021,52
PRE REVIEW,closed,1,0,10,2021,20
PRE REVIEW,closed,0,4,15,2021,26
PRE REVIEW,closed,1,0,0,2021,9
PRE REVIEW,closed,0,3,21,2021,35
PRE REVIEW,closed,1,0,8,2021,12
REVIEW,closed,0,3,63,2021,89
PRE REVIEW,closed,0,2,5,2021,24
PRE REVIEW,closed,0,0,59,2021,24
PRE REVIEW,closed,0,2,27,2021,32
PRE REVIEW,closed,0,3,8,2021,30
PRE REVIEW,closed,0,3,23,2021,27
REVIEW,closed,0,3,77,2021,45
PRE REVIEW,closed,1,0,0,2021,8
PRE REVIEW,closed,0,2,25,2021,23
REVIEW,closed,0,3,61,2021,67
PRE REVIEW,closed,1,0,15,2021,18
PRE REVIEW,closed,0,3,20,2021,25
REVIEW,closed,0,3,28,2021,80
PRE REVIEW,closed,0,2,107,2021,49
PRE REVIEW,closed,1,1,155,2021,30
REVIEW,closed,0,3,58,2021,59
REVIEW,closed,0,4,87,2021,76
PRE REVIEW,closed,0,2,34,2021,22
PRE REVIEW,closed,0,3,78,2021,34
PRE REVIEW,closed,0,3,49,2021,49
PRE REVIEW,closed,0,3,45,2021,27
PRE REVIEW,closed,0,3,38,2021,43
PRE REVIEW,closed,0,2,50,2021,25
PRE REVIEW,closed,0,3,3,2021,26
PRE REVIEW,closed,0,3,29,2021,29
PRE REVIEW,closed,0,3,56,2021,34
PRE REVIEW,closed,0,1,38,2021,28
PRE REVIEW,closed,0,2,168,2021,38
PRE REVIEW,closed,0,3,31,2021,27
PRE REVIEW,closed,0,3,67,2021,24
PRE REVIEW,closed,0,3,20,2021,34
REVIEW,closed,0,2,31,2021,86
REVIEW,closed,0,3,128,2021,67
REVIEW,closed,0,3,25,2021,59
REVIEW,closed,0,3,91,2021,55
REVIEW,closed,0,3,91,2021,67
REVIEW,closed,0,3,72,2021,84
REVIEW,closed,0,3,33,2021,66
REVIEW,closed,0,3,31,2021,73
PRE REVIEW,closed,1,0,9,2021,45
REVIEW,closed,0,3,12,2021,49
PRE REVIEW,closed,0,4,10,2021,29
PRE REVIEW,closed,0,3,0,2021,34
PRE REVIEW,closed,0,3,6,2021,22
PRE REVIEW,closed,0,3,19,2021,28
PRE REVIEW,closed,0,2,220,2021,33
PRE REVIEW,closed,1,0,27,2021,31
REVIEW,closed,0,4,67,2021,45
PRE REVIEW,closed,0,3,6,2021,42
PRE REVIEW,closed,0,3,20,2021,37
REVIEW,closed,0,3,113,2021,83
REVIEW,closed,0,4,29,2021,106
REVIEW,closed,0,3,78,2021,102
REVIEW,closed,0,3,43,2021,37
REVIEW,closed,0,3,36,2021,58
REVIEW,closed,0,3,73,2021,29
PRE REVIEW,closed,0,2,6,2021,26
REVIEW,closed,0,3,135,2021,42
PRE REVIEW,closed,0,2,3,2021,25
PRE REVIEW,closed,0,2,12,2021,25
REVIEW,closed,0,3,133,2021,62
REVIEW,closed,0,3,99,2021,68
REVIEW,closed,0,4,70,2021,95
REVIEW,closed,0,3,116,2021,75
PRE REVIEW,closed,0,3,0,2021,39
PRE REVIEW,closed,0,2,46,2021,41
REVIEW,closed,1,3,230,2021,35
REVIEW,closed,0,3,112,2021,147
PRE REVIEW,closed,1,0,75,2021,9
PRE REVIEW,closed,1,0,6,2021,12
PRE REVIEW,closed,0,1,0,2021,26
REVIEW,closed,0,3,198,2021,51
REVIEW,closed,0,4,153,2021,99
REVIEW,closed,0,3,103,2021,97
REVIEW,closed,0,3,57,2021,127
REVIEW,closed,1,3,236,2021,21
REVIEW,closed,0,3,235,2021,56
REVIEW,closed,0,3,53,2021,75
REVIEW,closed,0,3,26,2021,47
PRE REVIEW,closed,0,2,100,2021,27
PRE REVIEW,closed,0,1,17,2021,32
PRE REVIEW,closed,0,3,58,2021,30
REVIEW,closed,0,3,76,2021,78
PRE REVIEW,closed,0,3,13,2021,32
PRE REVIEW,closed,0,3,6,2021,34
REVIEW,closed,0,4,76,2021,62
REVIEW,closed,0,4,66,2021,85
REVIEW,closed,0,4,54,2021,79
REVIEW,closed,0,3,59,2021,36
REVIEW,closed,0,2,105,2021,57
PRE REVIEW,closed,0,2,13,2021,19
PRE REVIEW,closed,1,0,17,2021,26
PRE REVIEW,closed,0,2,18,2021,38
PRE REVIEW,closed,0,3,23,2021,27
PRE REVIEW,closed,0,4,18,2021,49
REVIEW,closed,0,3,97,2021,56
PRE REVIEW,closed,0,1,104,2021,27
PRE REVIEW,closed,0,3,34,2021,42
PRE REVIEW,closed,1,0,5,2021,19
PRE REVIEW,closed,0,3,11,2021,25
PRE REVIEW,closed,0,3,76,2021,42
PRE REVIEW,closed,0,3,16,2021,26
PRE REVIEW,closed,1,0,5,2021,12
REVIEW,closed,0,4,14,2021,51
PRE REVIEW,closed,1,0,0,2021,7
REVIEW,closed,0,3,56,2021,61
REVIEW,closed,0,3,56,2021,85
REVIEW,closed,0,3,233,2021,168
PRE REVIEW,closed,0,3,30,2021,33
